Service Name,Port Number,Transport Protocol,Description,Assignee,Contact,Registration Date,Modification Date,Reference,Service Code,Unauthorized Use Reported,Assignment Notes
wusage,2396,tcp,Wusage,[Thomas_Boutell],[Thomas_Boutell],,,,,,
ncl,2397,tcp,NCL,[Robert_Wiebe],[Robert_Wiebe],,,,,,
orbiter,2398,tcp,Orbiter,[David_Goldberg],[David_Goldberg],,,,,,
fmpro-fdal,2399,tcp,"FileMaker, Inc. - Data Access Layer",[Clay_Maeckel],[Clay_Maeckel],,,,,,
opequus-server,2400,tcp,OpEquus Server,[Gavin_Hutchinson_2],[Gavin_Hutchinson_2],,,,,,
cvspserver,2401,tcp,cvspserver,[Jim_Kingdon],[Jim_Kingdon],,,,,,
taskmaster2000,2402,tcp,TaskMaster 2000 Server,,,,,,,,
taskmaster2000,2403,tcp,TaskMaster 2000 Web,[Ed_Odjaghian],[Ed_Odjaghian],,,,,,
iec-104,2404,tcp,IEC 60870-5-104 process control over IP,[Walter_K_Eichelburg],[Walter_K_Eichelburg],,,,,,
trc-netpoll,2405,tcp,TRC Netpoll,[Bizhan_Ghavami],[Bizhan_Ghavami],,,,,,
jediserver,2406,tcp,JediServer,[Paul_McEntire],[Paul_McEntire],,,,,,
orion,2407,tcp,Orion,[Matthew_Horoschun],[Matthew_Horoschun],,,,,,
railgun-webaccl,2408,tcp,CloudFlare Railgun Web Acceleration Protocol,[CloudFlare],[John_Graham_Cumming],,2012-03-09,,,,
sns-protocol,2409,tcp,SNS Protocol,[Amir_Blich],[Amir_Blich],,,,,,
vrts-registry,2410,tcp,VRTS Registry,[Pranay_Varma],[Pranay_Varma],,,,,,
netwave-ap-mgmt,2411,tcp,Netwave AP Management,[Johnny_Zweig],[Johnny_Zweig],,,,,,
cdn,2412,tcp,CDN,[Alan_Noble],[Alan_Noble],,,,,,
orion-rmi-reg,2413,tcp,orion-rmi-reg,[J_S_Greenfield_2],[J_S_Greenfield_2],,,,,,
beeyond,2414,tcp,Beeyond,[Bob_Deblier],[Bob_Deblier],,,,,,
codima-rtp,2415,tcp,Codima Remote Transaction Protocol,[Sylvia_Ross],[Sylvia_Ross],,,,,,
rmtserver,2416,tcp,RMT Server,[Yvon_Marineau],[Yvon_Marineau],,,,,,
composit-server,2417,tcp,Composit Server,[Katsuaki_Naoi],[Katsuaki_Naoi],,,,,,
cas,2418,tcp,cas,[Akiyoshi_Ochi],[Akiyoshi_Ochi],,,,,,
attachmate-s2s,2419,tcp,Attachmate S2S,[Chris_Rominski],[Chris_Rominski],,,,,,
dslremote-mgmt,2420,tcp,DSL Remote Management,[Westell],[Westell],,,,,,
g-talk,2421,tcp,G-Talk,[Matt_Hammond],[Matt_Hammond],,,,,,
crmsbits,2422,tcp,CRMSBITS,[Rod_Ward],[Rod_Ward],,,,,,
rnrp,2423,tcp,RNRP,[Per_Sahlqvist],[Per_Sahlqvist],,,,,,
kofax-svr,2424,tcp,KOFAX-SVR,[Steven_Kilby],[Steven_Kilby],2011-04-25,,,,,
fjitsuappmgr,2425,tcp,Fujitsu App Manager,[Hiroyuki_Kawabuchi],[Hiroyuki_Kawabuchi],,,,,,
vcmp,2426,tcp,VeloCloud MultiPath Protocol,[VeloCloud_Networks],[Tim_Van_Herck],2014-11-13,,,,,This port was previously removed on 2002-04-29.
mgcp-gateway,2427,tcp,Media Gateway Control Protocol Gateway,[Christian_Huitema],[Christian_Huitema],,,,,,
ott,2428,tcp,One Way Trip Time,[Greg_Troxel],[Greg_Troxel],,,,,,
ft-role,2429,tcp,FT-ROLE,[Doug_Boone],[Doug_Boone],,,,,,
venus,2430,tcp,venus,,,,,,,,
venus-se,2431,tcp,venus-se,,,,,,,,
codasrv,2432,tcp,codasrv,,,,,,,,
codasrv-se,2433,tcp,codasrv-se,[Robert_Watson],[Robert_Watson],,,,,,
pxc-epmap,2434,tcp,pxc-epmap,[Jun_Nakamura],[Jun_Nakamura],,,,,,
optilogic,2435,tcp,OptiLogic,[Clark_Williams],[Clark_Williams],,,,,,
topx,2436,tcp,TOP/X,[Dragos_Pop],[Dragos_Pop],,,,,,
unicontrol,2437,tcp,UniControl,[Ing_Markus_Huemer],[Ing_Markus_Huemer],,,,,,
msp,2438,tcp,MSP,[Evan_Caves],[Evan_Caves],,,,,,
sybasedbsynch,2439,tcp,SybaseDBSynch,[Dave_Neudoerffer],[Dave_Neudoerffer],,,,,,
spearway,2440,tcp,Spearway Lockers,[Pierre_Frisch],[Pierre_Frisch],,,,,,
pvsw-inet,2441,tcp,Pervasive I*net Data Server,[Chuck_Talk],[Chuck_Talk],,,,,,
netangel,2442,tcp,Netangel,[Ladislav_Baranyay],[Ladislav_Baranyay],,,,,,
powerclientcsf,2443,tcp,PowerClient Central Storage Facility,[Brian_Klassen],[Brian_Klassen],,,,,,
btpp2sectrans,2444,tcp,BT PP2 Sectrans,[Ian_Daniels],[Ian_Daniels],,,,,,
dtn1,2445,tcp,DTN1,[Bob_Gaddie],[Bob_Gaddie],,,,,,
bues-service,2446,tcp,"bues_service IANA assigned this well-formed service name as a replacement for ""bues_service"".",[Leonhard_Diekmann],[Leonhard_Diekmann],,,,,,
ovwdb,2447,tcp,OpenView NNM daemon,[Eric_Pulsipher_2],[Eric_Pulsipher_2],,,,,,
hpppssvr,2448,tcp,hpppsvr,[Bridgette_Landers],[Bridgette_Landers],,,,,,
ratl,2449,tcp,RATL,[Paul_Greenfield],[Paul_Greenfield],,,,,,
netadmin,2450,tcp,netadmin,,,,,,,,
netchat,2451,tcp,netchat,[Julian_Mehnle],[Julian_Mehnle],,,,,,
snifferclient,2452,tcp,SnifferClient,[Amy_Weaver_2],[Amy_Weaver_2],,,,,,
madge-ltd,2453,tcp,madge ltd,[Mark_Lyall],[Mark_Lyall],,,,,,
indx-dds,2454,tcp,IndX-DDS,[Paul_Carmichael],[Paul_Carmichael],,,,,,
wago-io-system,2455,tcp,WAGO-IO-SYSTEM,[Jorg_Hoffmann],[Jorg_Hoffmann],,,,,,
altav-remmgt,2456,tcp,altav-remmgt,[Gary_M_Allen],[Gary_M_Allen],,,,,,
rapido-ip,2457,tcp,Rapido_IP,[Man_Shuen_Cheung],[Man_Shuen_Cheung],,,,,,
griffin,2458,tcp,griffin,[Tom_Taylor],[Tom_Taylor],,,,,,
xrpl,2459,tcp,Community,[David_Schwartz],[David_Schwartz],,2019-08-09,,,,
ms-theater,2460,tcp,ms-theater,[Anton_Kucer],[Anton_Kucer],,,,,,
qadmifoper,2461,tcp,qadmifoper,,,,,,,,
qadmifevent,2462,tcp,qadmifevent,[Pekka_Takaranta],[Pekka_Takaranta],,,,,,
lsi-raid-mgmt,2463,tcp,LSI RAID Management,[NetApp],[MSW_architecture_team],,2014-07-18,,,,
direcpc-si,2464,tcp,DirecPC SI,[Doug_Dillon],[Doug_Dillon],,,,,,
lbm,2465,tcp,Load Balance Management,,,,,,,,
lbf,2466,tcp,Load Balance Forwarding,[Kazuhiro_Koide],[Kazuhiro_Koide],,,,,,
high-criteria,2467,tcp,High Criteria,[Konstantin_Iavid],[Konstantin_Iavid],,,,,,
qip-msgd,2468,tcp,qip_msgd,[Mike_Morgan],[Mike_Morgan],,,,,,
mti-tcs-comm,2469,tcp,MTI-TCS-COMM,[Mario_Bonin],[Mario_Bonin],,,,,,
taskman-port,2470,tcp,taskman port,[Boris_Panteleev],[Boris_Panteleev],,,,,,
seaodbc,2471,tcp,SeaODBC,[Adrian_Hornby],[Adrian_Hornby],,,,,,
c3,2472,tcp,C3,[Eckhard_Grieger],[Eckhard_Grieger],,,,,,
aker-cdp,2473,tcp,Aker-cdp,[Rodrigo_Ormonde],[Rodrigo_Ormonde],,,,,,
vitalanalysis,2474,tcp,Vital Analysis,[Srinivas_Reddy],[Srinivas_Reddy],,,,,,
ace-server,2475,tcp,ACE Server,,,,,,,,
ace-svr-prop,2476,tcp,ACE Server Propagation,,,,,,,,
ssm-cvs,2477,tcp,SecurSight Certificate Valifation Service,,,,,,,,
ssm-cssps,2478,tcp,SecurSight Authentication Server (SSL),,,,,,,,
ssm-els,2479,tcp,SecurSight Event Logging Server (SSL),[John_Linn],[John_Linn],,,,,,
powerexchange,2480,tcp,Informatica PowerExchange Listener,[Informatica],[Philip_Line],,2023-03-13,,,,
giop,2481,tcp,Oracle GIOP,,,,,,,,
giop-ssl,2482,tcp,Oracle GIOP SSL,,,,,,,,
ttc,2483,tcp,Oracle TTC,,,,,,,,
ttc-ssl,2484,tcp,Oracle TTC SSL,[Chandar_Venkataraman],[Chandar_Venkataraman],,,,,,
netobjects1,2485,tcp,Net Objects1,,,,,,,,
netobjects2,2486,tcp,Net Objects2,[Francois_Granade],[Francois_Granade],,,,,,
pns,2487,tcp,Policy Notice Service,[Akiyoshi_Ochi],[Akiyoshi_Ochi],,,,,,
moy-corp,2488,tcp,Moy Corporation,[Gang_Gong_Moy],[Gang_Gong_Moy],,,,,,
tsilb,2489,tcp,TSILB,[James_Irwin],[James_Irwin],,,,,,
qip-qdhcp,2490,tcp,qip_qdhcp,[Mike_Morgan],[Mike_Morgan],,,,,,
conclave-cpp,2491,tcp,Conclave CPP,[Larry_Lipstone],[Larry_Lipstone],,,,,,
groove,2492,tcp,GROOVE,[Ray_Ozzie],[Ray_Ozzie],,,,,,
talarian-mqs,2493,tcp,Talarian MQS,[Jim_Stabile],[Jim_Stabile],,,,,,
bmc-ar,2494,tcp,BMC AR,[Portnoy_Boxman],[Portnoy_Boxman],,,,,,
fast-rem-serv,2495,tcp,Fast Remote Services,[Scott_St_Clair],[Scott_St_Clair],,,,,,
dirgis,2496,tcp,DIRGIS,[Deutschland_Informat],[Deutschland_Informat],,,,,,
quaddb,2497,tcp,Quad DB,[Jeff_Rosenthal],[Jeff_Rosenthal],,,,,,
odn-castraq,2498,tcp,ODN-CasTraq,[Richard_Hodges_2],[Richard_Hodges_2],,,,,,
unicontrol,2499,tcp,UniControl,[Ing_Markus_Huemer],[Ing_Markus_Huemer],,,,,,
rtsserv,2500,tcp,Resource Tracking system server,,,,,,,,
rtsclient,2501,tcp,Resource Tracking system client,[Aubrey_Turner],[Aubrey_Turner],,,,,,
kentrox-prot,2502,tcp,Kentrox Protocol,[Anil_Lakhwara],[Anil_Lakhwara],,,,,,
nms-dpnss,2503,tcp,NMS-DPNSS,[Jean_Christophe_Desi],[Jean_Christophe_Desi],,,,,,
wlbs,2504,tcp,WLBS,[William_Bain],[William_Bain],,,,,,
ppcontrol,2505,tcp,PowerPlay Control,[Max_Magliaro],[Max_Magliaro],2004-11,,,,,
jbroker,2506,tcp,jbroker,[Rohit_Garg_2],[Rohit_Garg_2],,,,,,
spock,2507,tcp,spock,[Jon_A_Christopher],[Jon_A_Christopher],,,,,,
jdatastore,2508,tcp,JDataStore,[Tod_Landis],[Tod_Landis],,,,,,
fjmpss,2509,tcp,fjmpss,[Makoto_Watanabe],[Makoto_Watanabe],,,,,,
fjappmgrbulk,2510,tcp,fjappmgrbulk,[Hiroyuki_Kawabuchi],[Hiroyuki_Kawabuchi],,,,,,
metastorm,2511,tcp,Metastorm,[Eric_Isom],[Eric_Isom],,,,,,
citrixima,2512,tcp,Citrix IMA,,,,,,,,
citrixadmin,2513,tcp,Citrix ADMIN,[Myk_Willis],[Myk_Willis],,,,,,
facsys-ntp,2514,tcp,Facsys NTP,,,,,,,,
facsys-router,2515,tcp,Facsys Router,[Jeff_Hoffman],[Jeff_Hoffman],,,,,,
maincontrol,2516,tcp,Main Control,[Nathan_Sadia],[Nathan_Sadia],,,,,,
call-sig-trans,2517,tcp,H.323 Annex E Call Control Signalling Transport,[ITU-T],[ITU-T_TSB],,2013-01-31,,,,
willy,2518,tcp,Willy,[Carl_Johan_Wik],[Carl_Johan_Wik],,,,,,
globmsgsvc,2519,tcp,globmsgsvc,[David_Wiltz],[David_Wiltz],,,,,,
pvsw,2520,tcp,Pervasive Listener,[Chuck_Talk],[Chuck_Talk],,,,,,
adaptecmgr,2521,tcp,Adaptec Manager,[Mark_Parenti],[Mark_Parenti],,,,,,
windb,2522,tcp,WinDb,[Larry_Traylor],[Larry_Traylor],,,,,,
qke-llc-v3,2523,tcp,Qke LLC V.3,[Joerg_Niehoff],[Joerg_Niehoff],,,,,,
optiwave-lm,2524,tcp,Optiwave License Management,[Slawomir_Krzesinski],[Slawomir_Krzesinski],,,,,,
ms-v-worlds,2525,tcp,MS V-Worlds,[Pete_Wong],[Pete_Wong],,,,,,
ema-sent-lm,2526,tcp,EMA License Manager,[Thaddeus_Perala],[Thaddeus_Perala],,,,,,
iqserver,2527,tcp,IQ Server,[Nick_Straguzzi],[Nick_Straguzzi],,,,,,
ncr-ccl,2528,tcp,"NCR CCL IANA assigned this well-formed service name as a replacement for ""ncr_ccl"".",[Amitava_Dutta],[Amitava_Dutta],,,,,,
utsftp,2529,tcp,UTS FTP,[David_Moore],[David_Moore],,,,,,
vrcommerce,2530,tcp,VR Commerce,[Yosi_Mass],[Yosi_Mass],,,,,,
ito-e-gui,2531,tcp,ITO-E GUI,[Michael_Haeuptle],[Michael_Haeuptle],,,,,,
ovtopmd,2532,tcp,OVTOPMD,[Eric_Pulsipher],[Eric_Pulsipher],,,,,,
snifferserver,2533,tcp,SnifferServer,[Amy_Weaver_3],[Amy_Weaver_3],,,,,,
combox-web-acc,2534,tcp,Combox Web Access,[Yochai_Cohen],[Yochai_Cohen],,,,,,
madcap,2535,tcp,MADCAP,[Stephen_Hanna_2],[Stephen_Hanna_2],,,,,,
btpp2audctr1,2536,tcp,btpp2audctr1,[Ian_Daniels],[Ian_Daniels],,,,,,
upgrade,2537,tcp,Upgrade Protocol,[Breck_Auten],[Breck_Auten],,,,,,
vnwk-prapi,2538,tcp,vnwk-prapi,[John_Hasselkus],[John_Hasselkus],,,,,,
vsiadmin,2539,tcp,VSI Admin,[Rob_Juergens],[Rob_Juergens],,,,,,
lonworks,2540,tcp,LonWorks,,,,,,,,
lonworks2,2541,tcp,LonWorks2,[Gary_Bartlett],[Gary_Bartlett],,,,,,
udrawgraph,2542,tcp,uDraw(Graph),[Bremen],[Bremen],,,,,,
reftek,2543,tcp,REFTEK,[Phil_Davidson],[Phil_Davidson],,,,,,
novell-zen,2544,tcp,Management Daemon Refresh,[Ty_Ellis],[Ty_Ellis],,,,,,
sis-emt,2545,tcp,sis-emt,[Bill_Crawford],[Bill_Crawford],,,,,,
vytalvaultbrtp,2546,tcp,vytalvaultbrtp,,,,,,,,
vytalvaultvsmp,2547,tcp,vytalvaultvsmp,,,,,,,,
vytalvaultpipe,2548,tcp,vytalvaultpipe,[Tim_Boldt],[Tim_Boldt],,,,,,
ipass,2549,tcp,IPASS,[Michael_Fischer],[Michael_Fischer],,,,,,
ads,2550,tcp,ADS,[Michael_O_Connor],[Michael_O_Connor],,,,,,
isg-uda-server,2551,tcp,ISG UDA Server,[Dror_Harari],[Dror_Harari],,,,,,
call-logging,2552,tcp,Call Logging,[Dean_Webb],[Dean_Webb],,,,,,
efidiningport,2553,tcp,efidiningport,[Lynn_Carter],[Lynn_Carter],,,,,,
vcnet-link-v10,2554,tcp,VCnet-Link v10,[Csaba_Mate],[Csaba_Mate],,,,,,
compaq-wcp,2555,tcp,Compaq WCP,[Ferruccio_Barletta],[Ferruccio_Barletta],,,,,,
nicetec-nmsvc,2556,tcp,nicetec-nmsvc,,,,,,,,
nicetec-mgmt,2557,tcp,nicetec-mgmt,[Joerg_Paulus],[Joerg_Paulus],,,,,,
pclemultimedia,2558,tcp,PCLE Multi Media,[Jacob_Gsoedl],[Jacob_Gsoedl],,,,,,
lstp,2559,tcp,LSTP,[Waiki_Wright],[Waiki_Wright],,,,,,
labrat,2560,tcp,labrat,[John_Harvey],[John_Harvey],,,,,,
mosaixcc,2561,tcp,MosaixCC,[Steven_Frare],[Steven_Frare],,,,,,
delibo,2562,tcp,Delibo,[NovaWiz_LTD],[NovaWiz_LTD],,,,,,
cti-redwood,2563,tcp,CTI Redwood,[Songwon_Chi],[Songwon_Chi],,,,,,
hp-3000-telnet,2564,tcp,HP 3000 NS/VT block mode telnet,,,,,,,,
coord-svr,2565,tcp,Coordinator Server,[Richard_Steiger],[Richard_Steiger],,,,,,
pcs-pcw,2566,tcp,pcs-pcw,[W_Jordan_Fitzhugh],[W_Jordan_Fitzhugh],,,,,,
clp,2567,tcp,Cisco Line Protocol,[Susan_Hinrichs],[Susan_Hinrichs],,,,,,
spamtrap,2568,tcp,SPAM TRAP,[Charles_Bennett],[Charles_Bennett],2008-08-29,,,,,
sonuscallsig,2569,tcp,Sonus Call Signal,[Mark_Garti],[Mark_Garti],,,,,,
hs-port,2570,tcp,HS Port,[Uri_Doron],[Uri_Doron],,,,,,
cecsvc,2571,tcp,CECSVC,[Roger_Pao],[Roger_Pao],,,,,,
ibp,2572,tcp,IBP,[Jonathan_Downes],[Jonathan_Downes],,,,,,
trustestablish,2573,tcp,Trust Establish,[Yosi_Mass],[Yosi_Mass],,,,,,
blockade-bpsp,2574,tcp,Blockade BPSP,[Blockade],[Blockade],,,,,,
hl7,2575,tcp,HL7,[Tim_Jacobs],[Tim_Jacobs],,,,,,
tclprodebugger,2576,tcp,TCL Pro Debugger,,,,,,,,
scipticslsrvr,2577,tcp,Scriptics Lsrvr,[Brent_Welch],[Brent_Welch],,,,,,
rvs-isdn-dcp,2578,tcp,RVS ISDN DCP,[Michael_Zirpel],[Michael_Zirpel],,,,,,
mpfoncl,2579,tcp,mpfoncl,[Itaru_Kimura],[Itaru_Kimura],,,,,,
tributary,2580,tcp,Tributary,[Louis_Lu],[Louis_Lu],,,,,,
argis-te,2581,tcp,ARGIS TE,,,,,,,,
argis-ds,2582,tcp,ARGIS DS,[John_Legh_Page],[John_Legh_Page],,,,,,
mon,2583,tcp,MON,[Jim_Trocki],[Jim_Trocki],,,,,,
cyaserv,2584,tcp,cyaserv,[Morgan_Jones],[Morgan_Jones],,,,,,
netx-server,2585,tcp,NETX Server,,,,,,,,
netx-agent,2586,tcp,NETX Agent,[Brett_Dolecheck],[Brett_Dolecheck],,,,,,
masc,2587,tcp,MASC,[Pavlin_Ivanov_Radosl],[Pavlin_Ivanov_Radosl],,,,,,
privilege,2588,tcp,Privilege,[Gil_Hecht],[Gil_Hecht],,,,,,
quartus-tcl,2589,tcp,quartus tcl,[Subroto_Datta],[Subroto_Datta],,,,,,
idotdist,2590,tcp,idotdist,[Jason_Hunter],[Jason_Hunter],,,,,,
maytagshuffle,2591,tcp,Maytag Shuffle,[Ken_Ksiazek],[Ken_Ksiazek],,,,,,
netrek,2592,tcp,netrek,[Al_Guetzlaff],[Al_Guetzlaff],,,,,,
mns-mail,2593,tcp,MNS Mail Notice Service,[Rumiko_Kikuta],[Rumiko_Kikuta],,,,,,
dts,2594,tcp,Data Base Server,[Andreas_Roene],[Andreas_Roene],,,,,,
worldfusion1,2595,tcp,World Fusion 1,,,,,,,,
worldfusion2,2596,tcp,World Fusion 2,[World_Fusion],[World_Fusion],,,,,,
homesteadglory,2597,tcp,Homestead Glory,[John_Tokash],[John_Tokash],,,,,,
citriximaclient,2598,tcp,Citrix MA Client,[Myk_Willis],[Myk_Willis],,,,,,
snapd,2599,tcp,Snap Discovery,[Kevin_Osborn],[Kevin_Osborn],,,,,,
hpstgmgr,2600,tcp,HPSTGMGR,[Kevin_Collins],[Kevin_Collins],,,,,,
discp-client,2601,tcp,discp client,,,,,,,,
discp-server,2602,tcp,discp server,[Peter_White],[Peter_White],,,,,,
servicemeter,2603,tcp,Service Meter,[Duncan_Hare],[Duncan_Hare],,,,,,
nsc-ccs,2604,tcp,NSC CCS,,,,,,,,
nsc-posa,2605,tcp,NSC POSA,[Tom_Findley],[Tom_Findley],,,,,,
netmon,2606,tcp,Dell Netmon,,,,,,,,
connection,2607,tcp,Dell Connection,[Sudhir_Shetty],[Sudhir_Shetty],,,,,,
wag-service,2608,tcp,Wag Service,[Gilles_Bourquard],[Gilles_Bourquard],,,,,,
system-monitor,2609,tcp,System Monitor,[Greg_Robson_Garth],[Greg_Robson_Garth],,,,,,
versa-tek,2610,tcp,VersaTek,[James_Kou],[James_Kou],,,,,,
lionhead,2611,tcp,LIONHEAD,[Tim_Rance],[Tim_Rance],,,,,,
qpasa-agent,2612,tcp,Qpasa Agent,[Craig_Ching],[Craig_Ching],,,,,,
smntubootstrap,2613,tcp,SMNTUBootstrap,[Matt_Cecile],[Matt_Cecile],,,,,,
neveroffline,2614,tcp,Never Offline,[Dustin_Brand],[Dustin_Brand],,,,,,
firepower,2615,tcp,firepower,[Jason_Volk],[Jason_Volk],,,,,,
appswitch-emp,2616,tcp,appswitch-emp,[Ted_Ross],[Ted_Ross],,,,,,
cmadmin,2617,tcp,Clinical Context Managers,[Mark_Morwood],[Mark_Morwood],,,,,,
priority-e-com,2618,tcp,Priority E-Com,[Marcelo_Einhorn_2],[Marcelo_Einhorn_2],,,,,,
bruce,2619,tcp,bruce,[Alec_Muffett],[Alec_Muffett],,,,,,
lpsrecommender,2620,tcp,LPSRecommender,[Pritham_Shetty_2],[Pritham_Shetty_2],,,,,,
miles-apart,2621,tcp,Miles Apart Jukebox Server,[Michael_Rathmann],[Michael_Rathmann],,,,,,
metricadbc,2622,tcp,MetricaDBC,[Russ_Olivant],[Russ_Olivant],,,,,,
lmdp,2623,tcp,LMDP,[Ken_Bailey],[Ken_Bailey],,,,,,
aria,2624,tcp,Aria,[Logan_Bruns],[Logan_Bruns],,,,,,
blwnkl-port,2625,tcp,Blwnkl Port,[Weng_Chin_Yung],[Weng_Chin_Yung],,,,,,
gbjd816,2626,tcp,gbjd816,[George_Balesta],[George_Balesta],,,,,,
moshebeeri,2627,tcp,Moshe Beeri,[Moshe_Beeri],[Moshe_Beeri],,,,,,
dict,2628,tcp,DICT,[Rik_Faith],[Rik_Faith],,,,,,
sitaraserver,2629,tcp,Sitara Server,,,,,,,,
sitaramgmt,2630,tcp,Sitara Management,,,,,,,,
sitaradir,2631,tcp,Sitara Dir,[Manickam_R_Sridhar],[Manickam_R_Sridhar],,,,,,
irdg-post,2632,tcp,IRdg Post,[IRdg],[IRdg],,,,,,
interintelli,2633,tcp,InterIntelli,[Mike_Gagle],[Mike_Gagle],,,,,,
pk-electronics,2634,tcp,PK Electronics,[Seb_Ibis],[Seb_Ibis],,,,,,
backburner,2635,tcp,Back Burner,[Kevin_Teiskoetter],[Kevin_Teiskoetter],,,,,,
solve,2636,tcp,Solve,[Peter_Morrison],[Peter_Morrison],,,,,,
imdocsvc,2637,tcp,Import Document Service,[Zia_Bhatti],[Zia_Bhatti],,,,,,
sybaseanywhere,2638,tcp,Sybase Anywhere,[SAP],[Jason_Noack],,2021-12-03,,,,
aminet,2639,tcp,AMInet,[Alcorn_McBride_Inc],[Alcorn_McBride_Inc],,,,,,
ami-control,2640,tcp,Alcorn McBride Inc protocol used for device control,[Alcorn_McBride_Inc],[Alcorn_McBride_Inc],,2020-03-12,,,,
hdl-srv,2641,tcp,HDL Server,[David_Ely],[David_Ely],,,,,,
tragic,2642,tcp,Tragic,[Stu_Mark],[Stu_Mark],,,,,,
gte-samp,2643,tcp,GTE-SAMP,[Asher_Altman],[Asher_Altman],,,,,,
travsoft-ipx-t,2644,tcp,Travsoft IPX Tunnel,[Jack_Wilson],[Jack_Wilson],,,,,,
novell-ipx-cmd,2645,tcp,Novell IPX CMD,[Juan_Carlos_Luciani],[Juan_Carlos_Luciani],,,,,,
and-lm,2646,tcp,AND License Manager,[Dick_van_der_Sijs],[Dick_van_der_Sijs],,,,,,
syncserver,2647,tcp,SyncServer,[Shawn_Casey],[Shawn_Casey],,,,,,
upsnotifyprot,2648,tcp,Upsnotifyprot,[Mario_Leboute],[Mario_Leboute],,,,,,
vpsipport,2649,tcp,VPSIPPORT,[Joon_Radley],[Joon_Radley],,,,,,
eristwoguns,2650,tcp,eristwoguns,[Jason_Lockett][Melanie_Kacerek],[Jason_Lockett][Melanie_Kacerek],2008-12-16,,,,,
ebinsite,2651,tcp,EBInSite,[Lefteris_Kalamaras],[Lefteris_Kalamaras],,,,,,
interpathpanel,2652,tcp,InterPathPanel,[Stephen_Misel],[Stephen_Misel],,,,,,
sonus,2653,tcp,Sonus,[Mark_Garti],[Mark_Garti],,,,,,
corel-vncadmin,2654,tcp,"Corel VNC Admin IANA assigned this well-formed service name as a replacement for ""corel_vncadmin"".",[Oleg_Noskov],[Oleg_Noskov],,,,,,
unglue,2655,tcp,UNIX Nt Glue,[Peter_Santoro],[Peter_Santoro],,,,,,
kana,2656,tcp,Kana,[Colin_Goldstein],[Colin_Goldstein],,,,,,
sns-dispatcher,2657,tcp,SNS Dispatcher,,,,,,,,
sns-admin,2658,tcp,SNS Admin,,,,,,,,
sns-query,2659,tcp,SNS Query,[Mary_Holstege],[Mary_Holstege],,,,,,
gcmonitor,2660,tcp,GC Monitor,[Gustavo_Rodriguez_Ri],[Gustavo_Rodriguez_Ri],,,,,,
olhost,2661,tcp,OLHOST,[Robert_Ripberger],[Robert_Ripberger],,,,,,
bintec-capi,2662,tcp,BinTec-CAPI,,,,,,,Unauthorized Use Known on port 2662,
bintec-tapi,2663,tcp,BinTec-TAPI,,,,,,,,
patrol-mq-gm,2664,tcp,Patrol for MQ GM,,,,,,,,
patrol-mq-nm,2665,tcp,Patrol for MQ NM,[Portnoy_Boxman],[Portnoy_Boxman],,,,,,
extensis,2666,tcp,extensis,[Milton_Sagen],[Milton_Sagen],,,,,,
alarm-clock-s,2667,tcp,Alarm Clock Server,,,,,,,,
alarm-clock-c,2668,tcp,Alarm Clock Client,,,,,,,,
toad,2669,tcp,TOAD,[Michael_Marking],[Michael_Marking],,,,,,
tve-announce,2670,tcp,TVE Announce,[Dean_Blackketter],[Dean_Blackketter],,,,,,
newlixreg,2671,tcp,newlixreg,[Jean_Serge_Gagnon_2],[Jean_Serge_Gagnon_2],,,,,,
nhserver,2672,tcp,nhserver,[Adrian_Hornby],[Adrian_Hornby],,,,,,
firstcall42,2673,tcp,First Call 42,[Luke_Bowen],[Luke_Bowen],,,,,,
ewnn,2674,tcp,ewnn,[Yasunari_Yamashita],[Yasunari_Yamashita],,,,,,
ttc-etap,2675,tcp,TTC ETAP,[Daniel_Becker],[Daniel_Becker],,,,,,
simslink,2676,tcp,SIMSLink,[Steve_Ryckman],[Steve_Ryckman],,,,,,
gadgetgate1way,2677,tcp,Gadget Gate 1 Way,,,,,,,,
gadgetgate2way,2678,tcp,Gadget Gate 2 Way,[Matt_Rollins],[Matt_Rollins],,,,,,
syncserverssl,2679,tcp,Sync Server SSL,[Shawn_Casey],[Shawn_Casey],,,,,,
pxc-sapxom,2680,tcp,pxc-sapxom,[Hideki_Kiriyama],[Hideki_Kiriyama],,,,,,
mpnjsomb,2681,tcp,mpnjsomb,[Takenori_Miyahara],[Takenori_Miyahara],,,,,,
,2682,,Removed,,,,2002-04-30,,,,
ncdloadbalance,2683,tcp,NCDLoadBalance,[Tim_Stevenson],[Tim_Stevenson],,,,,,
mpnjsosv,2684,tcp,mpnjsosv,,,,,,,,
mpnjsocl,2685,tcp,mpnjsocl,,,,,,,,
mpnjsomg,2686,tcp,mpnjsomg,[Takenori_Miyahara],[Takenori_Miyahara],,,,,,
pq-lic-mgmt,2687,tcp,pq-lic-mgmt,[Bob_Sledge],[Bob_Sledge],,,,,,
md-cg-http,2688,tcp,md-cf-http,[Lyndon_Nerenberg],[Lyndon_Nerenberg],,,,,,
fastlynx,2689,tcp,FastLynx,[Dave_Sewell],[Dave_Sewell],,,,,,
hp-nnm-data,2690,tcp,HP NNM Embedded Database,[Chris_Das],[Chris_Das],,,,,,
itinternet,2691,tcp,ITInternet ISM Server,[Ron_Ehli],[Ron_Ehli],,,,,,
admins-lms,2692,tcp,Admins LMS,[Dagfinn_Saether],[Dagfinn_Saether],,,,,,
